Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
L_CE,best_4c_net,5,48.3 ± 4.8,73.3 ± 6.1,43.2 ± 6.1,43.5 ± 5.9,48.3 ± 4.8
  + L_Ins2Ins,best_4c_net,5,49.2 ± 5.2,73.3 ± 5.2,44.3 ± 6.4,43.1 ± 6.5,49.2 ± 5.2
    + L_Ins2Cls,best_4c_net,5,45.0 ± 5.7,72.6 ± 4.0,42.2 ± 5.8,44.8 ± 10.4,45.0 ± 5.7
      + L_Cls2Cls  (HOPE),best_4c_net,5,46.7 ± 3.1,72.0 ± 5.5,43.5 ± 7.4,48.8 ± 14.4,46.7 ± 3.1
Exclude Ins2Ins Ablation,best_4c_net,5,43.0 ± 5.5,71.1 ± 6.0,40.5 ± 4.6,45.6 ± 5.8,43.0 ± 5.5
Exclude Ins2Cls Ablation,best_4c_net,5,39.8 ± 4.6,72.7 ± 1.7,37.7 ± 6.2,44.1 ± 6.1,39.8 ± 4.6
Triplet Ins2Cls (Poles),best_4c_net,5,48.8 ± 4.6,73.2 ± 2.9,42.1 ± 5.0,40.4 ± 9.0,48.8 ± 4.6
CE + Triplet Only,best_4c_net,5,45.5 ± 8.2,71.3 ± 6.0,42.3 ± 9.1,44.3 ± 10.7,45.5 ± 8.2
CE + Hierarchical Triplet Only,best_4c_net,5,46.0 ± 3.5,73.3 ± 4.1,45.5 ± 3.7,51.6 ± 9.5,46.0 ± 3.5
Hierarchical Triplet Ins2Cls,best_4c_net,5,48.7 ± 7.2,72.5 ± 3.4,47.4 ± 5.7,51.2 ± 3.9,48.7 ± 7.2
HOPE 4-Class (No EMA),best_4c_net,5,35.7 ± 3.0,66.6 ± 3.9,27.6 ± 5.9,27.7 ± 7.4,35.7 ± 3.0
Triplet Ins2Cls 4-Class,best_4c_net,5,51.3 ± 5.1,77.0 ± 1.9,45.3 ± 2.4,41.8 ± 5.3,51.3 ± 5.1
